paths,labels
processed_data\barbell biceps curl\video119.pt,0
processed_data\hip thrust\video138.pt,6
processed_data\lateral raise\video43.pt,9
processed_data\leg raises\video86.pt,11
processed_data\plank\video180.pt,12
processed_data\leg extension\video30.pt,10
processed_data\barbell biceps curl\video107.pt,0
processed_data\incline bench press\video32.pt,7
processed_data\tricep Pushdown\video64.pt,21
processed_data\russian twist\video123.pt,16
processed_data\t bar row\video117.pt,19
processed_data\leg extension\video100.pt,10
processed_data\tricep dips\video168.pt,20
processed_data\t bar row\video136.pt,19
processed_data\squat\video13.pt,18
processed_data\deadlift\video1.pt,3
processed_data\bench press\video68.pt,1
processed_data\hammer curl\video124.pt,5
processed_data\lateral raise\video54.pt,9
processed_data\incline bench press\video7.pt,7
processed_data\push-up\video179.pt,14
processed_data\bench press\video132.pt,1
processed_data\t bar row\video1.pt,19
processed_data\incline bench press\video183.pt,7
processed_data\leg extension\video57.pt,10
processed_data\lateral raise\video74.pt,9
processed_data\lateral raise\video47.pt,9
processed_data\push-up\video201.pt,14
processed_data\t bar row\video150.pt,19
processed_data\pull Up\video157.pt,13
processed_data\deadlift\video85.pt,3
processed_data\deadlift\video137.pt,3
processed_data\t bar row\video179.pt,19
processed_data\bench press\video94.pt,1
processed_data\pull Up\video82.pt,13
processed_data\russian twist\video4.pt,16
processed_data\lateral raise\video121.pt,9
processed_data\barbell biceps curl\video33.pt,0
processed_data\hammer curl\video130.pt,5
processed_data\leg extension\video115.pt,10
processed_data\plank\video155.pt,12
processed_data\leg raises\video17.pt,11
processed_data\leg extension\video116.pt,10
processed_data\russian twist\video16.pt,16
processed_data\plank\video259.pt,12
processed_data\deadlift\video40.pt,3
processed_data\incline bench press\video90.pt,7
processed_data\hip thrust\video109.pt,6
processed_data\plank\video195.pt,12
processed_data\push-up\video155.pt,14
processed_data\shoulder press\video4.pt,17
processed_data\push-up\video189.pt,14
processed_data\romanian deadlift\video65.pt,15
processed_data\t bar row\video74.pt,19
processed_data\russian twist\video19.pt,16
processed_data\bench press\video113.pt,1
processed_data\incline bench press\video145.pt,7
processed_data\hip thrust\video51.pt,6
processed_data\incline bench press\video106.pt,7
processed_data\incline bench press\video74.pt,7
processed_data\push-up\video172.pt,14
processed_data\barbell biceps curl\video103.pt,0
processed_data\push-up\video215.pt,14
processed_data\squat\video22.pt,18
processed_data\bench press\video118.pt,1
processed_data\tricep Pushdown\video16.pt,21
processed_data\plank\video218.pt,12
processed_data\t bar row\video126.pt,19
processed_data\romanian deadlift\video53.pt,15
processed_data\hip thrust\video56.pt,6
processed_data\hip thrust\video122.pt,6
processed_data\pull Up\video177.pt,13
processed_data\lateral raise\video101.pt,9
processed_data\push-up\video202.pt,14
processed_data\barbell biceps curl\video139.pt,0
processed_data\leg raises\video67.pt,11
processed_data\hammer curl\video63.pt,5
processed_data\hip thrust\video131.pt,6
processed_data\pull Up\video77.pt,13
processed_data\romanian deadlift\video26.pt,15
processed_data\romanian deadlift\video69.pt,15
processed_data\leg extension\video42.pt,10
processed_data\leg raises\video33.pt,11
processed_data\barbell biceps curl\video56.pt,0
processed_data\pull Up\video122.pt,13
processed_data\plank\video160.pt,12
processed_data\t bar row\video153.pt,19
processed_data\hammer curl\video67.pt,5
processed_data\hammer curl\video73.pt,5
processed_data\hip thrust\video166.pt,6
processed_data\hip thrust\video165.pt,6
processed_data\pull Up\video63.pt,13
processed_data\deadlift\video31.pt,3
processed_data\romanian deadlift\video127.pt,15
processed_data\hammer curl\video74.pt,5
processed_data\t bar row\video0.pt,19
processed_data\incline bench press\video130.pt,7
processed_data\leg raises\video8.pt,11
processed_data\t bar row\video82.pt,19
processed_data\incline bench press\video192.pt,7
processed_data\leg extension\video105.pt,10
processed_data\push-up\video193.pt,14
processed_data\squat\video147.pt,18
processed_data\barbell biceps curl\video106.pt,0
processed_data\lateral raise\video116.pt,9
processed_data\hammer curl\video45.pt,5
processed_data\lateral raise\video155.pt,9
processed_data\tricep dips\video44.pt,20
processed_data\russian twist\video26.pt,16
processed_data\push-up\video235.pt,14
processed_data\pull Up\video46.pt,13
processed_data\deadlift\video29.pt,3
processed_data\plank\video46.pt,12
processed_data\t bar row\video142.pt,19
processed_data\hammer curl\video52.pt,5
processed_data\t bar row\video154.pt,19
processed_data\push-up\video64.pt,14
processed_data\tricep dips\video189.pt,20
processed_data\barbell biceps curl\video53.pt,0
processed_data\chest fly machine\video3.pt,2
processed_data\lateral raise\video117.pt,9
processed_data\tricep dips\video167.pt,20
processed_data\deadlift\video49.pt,3
processed_data\tricep Pushdown\video55.pt,21
processed_data\tricep dips\video204.pt,20
processed_data\lateral raise\video120.pt,9
processed_data\deadlift\video30.pt,3
processed_data\lateral raise\video171.pt,9
processed_data\pull Up\video138.pt,13
processed_data\lateral raise\video65.pt,9
processed_data\tricep dips\video108.pt,20
processed_data\squat\video102.pt,18
processed_data\tricep dips\video17.pt,20
processed_data\romanian deadlift\video153.pt,15
processed_data\hammer curl\video78.pt,5
processed_data\leg extension\video17.pt,10
processed_data\push-up\video171.pt,14
processed_data\t bar row\video63.pt,19
processed_data\push-up\video72.pt,14
processed_data\barbell biceps curl\video22.pt,0
processed_data\incline bench press\video159.pt,7
processed_data\plank\video113.pt,12
processed_data\plank\video116.pt,12
processed_data\leg raises\video79.pt,11
processed_data\push-up\video203.pt,14
processed_data\romanian deadlift\video106.pt,15
processed_data\plank\video204.pt,12
processed_data\lateral raise\video0.pt,9
processed_data\leg extension\video34.pt,10
processed_data\lateral raise\video181.pt,9
processed_data\incline bench press\video56.pt,7
processed_data\squat\video33.pt,18
processed_data\romanian deadlift\video86.pt,15
processed_data\bench press\video62.pt,1
processed_data\russian twist\video56.pt,16
processed_data\leg raises\video89.pt,11
processed_data\tricep Pushdown\video131.pt,21
processed_data\tricep dips\video5.pt,20
processed_data\plank\video51.pt,12
processed_data\barbell biceps curl\video6.pt,0
processed_data\leg raises\video81.pt,11
processed_data\tricep dips\video190.pt,20
processed_data\deadlift\video26.pt,3
processed_data\chest fly machine\video26.pt,2
processed_data\hip thrust\video54.pt,6
processed_data\hammer curl\video152.pt,5
processed_data\push-up\video2.pt,14
processed_data\squat\video129.pt,18
processed_data\leg extension\video97.pt,10
processed_data\barbell biceps curl\video120.pt,0
processed_data\incline bench press\video55.pt,7
processed_data\bench press\video74.pt,1
processed_data\hip thrust\video80.pt,6
processed_data\incline bench press\video80.pt,7
processed_data\hammer curl\video8.pt,5
processed_data\barbell biceps curl\video10.pt,0
processed_data\plank\video269.pt,12
processed_data\barbell biceps curl\video158.pt,0
processed_data\deadlift\video120.pt,3
processed_data\tricep Pushdown\video62.pt,21
processed_data\pull Up\video17.pt,13
processed_data\leg raises\video64.pt,11
processed_data\bench press\video95.pt,1
processed_data\leg extension\video14.pt,10
processed_data\leg raises\video138.pt,11
processed_data\romanian deadlift\video58.pt,15
processed_data\pull Up\video160.pt,13
processed_data\t bar row\video112.pt,19
processed_data\pull Up\video103.pt,13
processed_data\incline bench press\video72.pt,7
processed_data\push-up\video59.pt,14
processed_data\hip thrust\video34.pt,6
processed_data\incline bench press\video173.pt,7
processed_data\push-up\video109.pt,14
processed_data\incline bench press\video149.pt,7
processed_data\barbell biceps curl\video66.pt,0
processed_data\hammer curl\video145.pt,5
processed_data\plank\video69.pt,12
processed_data\romanian deadlift\video75.pt,15
processed_data\leg extension\video121.pt,10
processed_data\push-up\video100.pt,14
processed_data\hip thrust\video26.pt,6
processed_data\tricep dips\video144.pt,20
processed_data\squat\video73.pt,18
processed_data\push-up\video79.pt,14
processed_data\incline bench press\video162.pt,7
processed_data\push-up\video9.pt,14
processed_data\leg raises\video139.pt,11
processed_data\leg raises\video98.pt,11
processed_data\lateral raise\video95.pt,9
processed_data\push-up\video238.pt,14
processed_data\barbell biceps curl\video34.pt,0
processed_data\barbell biceps curl\video4.pt,0
processed_data\incline bench press\video40.pt,7
processed_data\plank\video245.pt,12
processed_data\deadlift\video25.pt,3
processed_data\push-up\video191.pt,14
processed_data\russian twist\video33.pt,16
processed_data\tricep dips\video137.pt,20
processed_data\push-up\video80.pt,14
processed_data\plank\video145.pt,12
processed_data\plank\video117.pt,12
processed_data\incline bench press\video134.pt,7
processed_data\pull Up\video88.pt,13
processed_data\tricep Pushdown\video86.pt,21
processed_data\leg extension\video20.pt,10
processed_data\romanian deadlift\video23.pt,15
processed_data\pull Up\video57.pt,13
processed_data\hip thrust\video174.pt,6
processed_data\push-up\video206.pt,14
processed_data\pull Up\video56.pt,13
processed_data\t bar row\video182.pt,19
processed_data\plank\video147.pt,12
processed_data\tricep dips\video50.pt,20
processed_data\plank\video215.pt,12
processed_data\hip thrust\video171.pt,6
processed_data\incline bench press\video109.pt,7
processed_data\t bar row\video43.pt,19
processed_data\bench press\video99.pt,1
processed_data\bench press\video11.pt,1
processed_data\t bar row\video127.pt,19
processed_data\tricep Pushdown\video1.pt,21
processed_data\squat\video196.pt,18
processed_data\romanian deadlift\video117.pt,15
processed_data\barbell biceps curl\video136.pt,0
processed_data\romanian deadlift\video72.pt,15
processed_data\russian twist\video129.pt,16
processed_data\russian twist\video142.pt,16
processed_data\russian twist\video79.pt,16
processed_data\tricep dips\video20.pt,20
processed_data\push-up\video99.pt,14
processed_data\russian twist\video122.pt,16
processed_data\bench press\video108.pt,1
processed_data\tricep dips\video84.pt,20
processed_data\hip thrust\video155.pt,6
processed_data\pull Up\video81.pt,13
processed_data\russian twist\video97.pt,16
processed_data\leg extension\video142.pt,10
processed_data\pull Up\video149.pt,13
processed_data\romanian deadlift\video132.pt,15
processed_data\tricep dips\video43.pt,20
processed_data\plank\video91.pt,12
processed_data\tricep dips\video180.pt,20
processed_data\tricep dips\video198.pt,20
processed_data\chest fly machine\video21.pt,2
processed_data\bench press\video78.pt,1
processed_data\tricep Pushdown\video47.pt,21
processed_data\t bar row\video120.pt,19
processed_data\lateral raise\video17.pt,9
processed_data\push-up\video69.pt,14
processed_data\squat\video161.pt,18
processed_data\pull Up\video169.pt,13
processed_data\push-up\video1.pt,14
processed_data\romanian deadlift\video55.pt,15
processed_data\plank\video17.pt,12
processed_data\barbell biceps curl\video102.pt,0
processed_data\push-up\video98.pt,14
processed_data\romanian deadlift\video169.pt,15
processed_data\push-up\video222.pt,14
processed_data\t bar row\video162.pt,19
processed_data\squat\video20.pt,18
processed_data\hammer curl\video4.pt,5
processed_data\t bar row\video69.pt,19
processed_data\lateral raise\video125.pt,9
processed_data\t bar row\video128.pt,19
processed_data\pull Up\video41.pt,13
processed_data\pull Up\video165.pt,13
processed_data\leg extension\video74.pt,10
processed_data\bench press\video106.pt,1
processed_data\plank\video27.pt,12
processed_data\plank\video242.pt,12
processed_data\barbell biceps curl\video73.pt,0
processed_data\incline bench press\video144.pt,7
processed_data\romanian deadlift\video156.pt,15
processed_data\deadlift\video155.pt,3
processed_data\romanian deadlift\video79.pt,15
processed_data\plank\video144.pt,12
processed_data\tricep dips\video164.pt,20
processed_data\deadlift\video154.pt,3
processed_data\romanian deadlift\video155.pt,15
processed_data\pull Up\video113.pt,13
processed_data\lateral raise\video13.pt,9
processed_data\plank\video224.pt,12
processed_data\push-up\video42.pt,14
processed_data\push-up\video57.pt,14
processed_data\barbell biceps curl\video84.pt,0
processed_data\pull Up\video151.pt,13
processed_data\deadlift\video84.pt,3
processed_data\t bar row\video129.pt,19
processed_data\tricep Pushdown\video58.pt,21
processed_data\incline bench press\video67.pt,7
processed_data\t bar row\video187.pt,19
processed_data\romanian deadlift\video164.pt,15
processed_data\push-up\video229.pt,14
processed_data\lat pulldown\video4.pt,8
processed_data\incline bench press\video25.pt,7
processed_data\push-up\video165.pt,14
processed_data\bench press\video109.pt,1
processed_data\hip thrust\video48.pt,6
processed_data\leg extension\video55.pt,10
processed_data\hip thrust\video18.pt,6
processed_data\leg extension\video127.pt,10
processed_data\incline bench press\video63.pt,7
processed_data\hip thrust\video9.pt,6
processed_data\russian twist\video126.pt,16
processed_data\pull Up\video49.pt,13
processed_data\push-up\video43.pt,14
processed_data\leg extension\video103.pt,10
processed_data\push-up\video4.pt,14
processed_data\t bar row\video3.pt,19
processed_data\plank\video206.pt,12
processed_data\deadlift\video138.pt,3
processed_data\hammer curl\video115.pt,5
processed_data\tricep dips\video136.pt,20
processed_data\romanian deadlift\video73.pt,15
processed_data\push-up\video92.pt,14
processed_data\russian twist\video51.pt,16
processed_data\romanian deadlift\video162.pt,15
processed_data\bench press\video129.pt,1
processed_data\pull Up\video76.pt,13
processed_data\decline bench press\video0.pt,4
processed_data\romanian deadlift\video31.pt,15
processed_data\push-up\video75.pt,14
processed_data\hip thrust\video161.pt,6
processed_data\incline bench press\video176.pt,7
processed_data\bench press\video117.pt,1
processed_data\lateral raise\video201.pt,9
processed_data\tricep dips\video91.pt,20
processed_data\t bar row\video41.pt,19
processed_data\leg raises\video3.pt,11
processed_data\bench press\video29.pt,1
processed_data\chest fly machine\video29.pt,2
processed_data\lateral raise\video87.pt,9
processed_data\lateral raise\video16.pt,9
processed_data\tricep dips\video14.pt,20
processed_data\t bar row\video188.pt,19
processed_data\push-up\video249.pt,14
processed_data\russian twist\video8.pt,16
processed_data\tricep dips\video21.pt,20
processed_data\barbell biceps curl\video47.pt,0
processed_data\plank\video125.pt,12
processed_data\squat\video145.pt,18
processed_data\tricep dips\video34.pt,20
processed_data\pull Up\video10.pt,13
processed_data\t bar row\video29.pt,19
processed_data\push-up\video44.pt,14
processed_data\barbell biceps curl\video79.pt,0
processed_data\pull Up\video24.pt,13
processed_data\leg extension\video90.pt,10
processed_data\tricep dips\video40.pt,20
processed_data\leg raises\video101.pt,11
processed_data\t bar row\video178.pt,19
processed_data\deadlift\video48.pt,3
processed_data\hip thrust\video118.pt,6
processed_data\tricep Pushdown\video97.pt,21
processed_data\plank\video119.pt,12
processed_data\squat\video32.pt,18
processed_data\tricep Pushdown\video81.pt,21
processed_data\squat\video148.pt,18
processed_data\romanian deadlift\video90.pt,15
processed_data\leg raises\video145.pt,11
processed_data\incline bench press\video91.pt,7
processed_data\tricep Pushdown\video120.pt,21
processed_data\russian twist\video48.pt,16
processed_data\plank\video96.pt,12
processed_data\leg extension\video78.pt,10
processed_data\plank\video184.pt,12
processed_data\hammer curl\video102.pt,5
